csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3369.550591370741	3222.003839914325	3630.121943641369	1.017119	25.662106	0.157160748	-0.0066431634	0.038180096499999996	-0.0183168759	-0.0411477075	-0.054324515	0.006705629	0.0114202022	0.0227118302	-0.0219910902	0.0449156588	0.0004086458	0.0394458106	0.057176132000000005	0.056925272400000004	0.056507987999999995	0.0559254988	0.0551795078	0.0542721958	0.0532062155	0.051984683399999995	0.0506111706	0.0490896928	0.0203595	0.139944	0.0128843	-0.0017394	3.01743e-25	-0.000245532
3358.950526201101	3221.8408062164567	3625.946679487076	1.005406	25.36659	0.15300012	0.002035651	0.006874921500000001	0.037256979100000004	-0.0016660303	-0.0489961759	0.0076431536	8.5865e-05	-0.0016882668	0.0379092507	0.0054013084	0.0208131022	0.0494639733	0.0571594345	0.05685859	0.056358354699999995	0.055660483	0.054767422	0.0536823036	0.0524089331	0.050951775899999996	0.04931594190000001	0.0475071676	0.0112544	0.0381998	0.0118985	-0.001114	-6.61744e-24	-4.76316e-05
3343.4836183107177	3219.809078367972	3622.5933305762205	1.0669860000000002	26.92028	0.034071285	-0.0013584329999999998	0.029864926899999998	0.054371778499999995	-0.0417658666	0.0366436367	-0.029123026200000002	0.0167997373	0.0041478691	0.0382956796	-0.0363181166	-0.0015368566	0.056246775	0.057141221	0.0567858751	0.056195268	0.055371846399999994	0.05431902190000001	0.0530411561	0.0515435433	0.0498323879	0.047914779299999995	0.0457986619	0.00554851	0.040868	0.0187157	-0.00108231	0.00031429	-7.92515e-05
3356.266992443869	3218.277233601723	3621.393723595714	1.09207	27.553152	0.14406065499999998	-0.0144410896	0.014294358500000002	0.0628737663	-0.0547085062	-0.0005844021	-0.0164541052	0.015126856000000001	0.0029250555	0.0365798836	0.0811457574	-0.0314269337	0.044711416399999995	0.0571214918	0.05670713559999999	0.056018766799999994	0.055059711799999994	0.0538346047	0.0523493654	0.0506111706	0.0486284195	0.0464106927	0.043968706399999995	0.007570839999999999	0.121868	0.0307245	-0.0016735299999999997	0.000440925	-0.000341987
3340.061097898802	3219.753363068577	3617.4004116901233	1.013351	25.567051	0.12486683499999998	-0.0041440224	0.0415399308	0.0629325192	-0.043279743200000005	0.051821065599999994	-0.0385874252	0.0144504585	0.02172272	0.0555015249	0.03325932	-0.0372268698	0.0263903875	0.0571002476	0.056622379699999996	0.0558288933	0.05472421139999999	0.0533144917	0.051607592	0.049613026799999994	0.047341914000000006	0.0448069129	0.042022153799999996	0.00143086	0.0545448	0.0124144	-0.00141024	0.000316837	-6.74939e-05
3336.472726127089	3218.0349648246083	3619.343252933895	1.042079	26.291876	0.058597975	0.0024314087	0.0157820452	0.062149908600000005	0.02595752	0.0600313524	-0.030311351	0.011391041599999999	0.0007164111000000001	0.0767576844	-0.0422044336	-0.0212338163	0.0273001229	0.0570774888	0.0565316164	0.05562569269999999	0.0543654878	0.052759027699999995	0.0508165442	0.048550409	0.045975055099999995	0.0431068849	0.039964166	0.00116754	0.0353374	0.0229252	-0.00111757	0.000405411	-0.000258579
3345.5259135576875	3217.066591799129	3623.1118491166685	1.070585	27.011068	0.0478773	-0.0051030709	0.007550564399999999	0.045132008200000004	0.0170474837	0.0767613502	0.0014860706	0.0032503834999999997	0.0032537192	0.046280140899999996	-0.0080755307	-0.0666232781	-0.013023384099999999	0.057053216100000005	0.0564348553	0.0554092137	0.053983693	0.0521685811	0.0499769773	0.047424698	0.044530162699999994	0.0413142606	0.0378002005	0.00359524	0.0578546	0.0244974	-0.00137791	0.000345154	-0.000151972
3351.0703165035607	3219.847893527046	3623.147331800541	1.037768	26.183098	0.10154156	-0.009017780999999999	0.0280713103	0.0286268703	-0.010415165799999999	0.0390592278	0.0490738088	0.0183228183	0.0018517187	0.024127255499999996	0.0337374138	-0.062233236100000006	-0.048503593399999996	0.0570274301	0.0563321068	0.0551795078	0.053578989199999996	0.0515435433	0.0490896928	0.0462373568	0.0430096892	0.0394328906	0.0355359956	0.007590849999999999	0.118409	0.0268439	-0.00190696	0.000381419	-0.000279558
3335.425539038902	3218.0166103695424	3621.297260570949	1.024271	25.842554	0.15938356	0.0102055857	0.016251377	0.0366774033	0.031730686800000005	0.0780419002	0.0169105554	0.0017074711	-0.0049207367	0.0536448606	-0.023602968999999998	-0.028140469900000003	-0.0057128016	0.057000131600000004	0.0562233818	0.0549366299	0.053151548099999994	0.050884328799999996	0.048155538	0.0449899284	0.0414162155	0.0374668162	0.0331775556	0.0014659199999999997	0.0289873	0.0122618	-0.0012693400000000003	0.000260307	-5.31934e-05
3348.5366098201557	3219.755970805363	3625.0572496564814	1.052368	26.55146	0.03517834	0.0028166668	0.01934457	0.0081354677	0.0789276452	0.052137249299999994	0.0891238583	-0.0005493246	0.0072406096	0.0242350889	-0.053160129800000004	-0.029433762000000002	-0.0851779376	0.05697132110000001	0.0561086916	0.054680638	0.052701551	0.0501913746	0.0471754047	0.043684033899999995	0.039752446000000004	0.0354202606	0.030731134700000003	0.00122526	0.0398816	0.0169982	-0.00117729	0.000385737	-0.000221853
3364.7628017941192	3220.449779236616	3628.03061358988	1.049198	26.471485	0.14316505000000002	0.0034697427000000003	-0.010655516499999998	-0.0017095488	0.046305551699999996	-0.0020668284	0.021100281000000002	-0.012982020700000001	-0.013068899299999999	-0.0063876209	0.0163967598	-0.0421530674	0.029861521499999998	0.0569409996	0.0559880487	0.054411593099999996	0.052229189	0.0494651404	0.046150228700000004	0.0423213703	0.0380212046	0.033297620099999994	0.028203220299999998	0.00133336	0.114238	0.030642	-0.00211046	0.000330924	-0.000108701
