csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3193.644943100931	2812.1976260905267	3631.0360033334186	1.020493	33.808754	0.2125733475	0.0038586854	-0.0191660656	-0.024808708199999998	-0.035289398799999996	0.0370261693	-0.0040424481	0.0016217748000000001	0.0237307129	0.0318406339	0.0592633614	-0.0306901975	-0.0443766642	0.055454050899999996	0.0552781133	0.054985297300000006	0.054576222	0.054051752300000006	0.05341299730000001	0.0526613074	0.051798272	0.0508257159	0.0497456954	0.048560494100000004	0.0	0.000250011	0.0469462	0.180853	-0.000936864	-3.69383e-06	0.000133177
3182.694263688749	2812.8196790079246	3633.8413681444135	1.004718	33.286129	0.1118503405	0.030543536099999997	0.08145882269999999	-0.0118170279	0.0085428548	0.07792852269999999	0.0347696732	-0.0124618914	0.05340708	0.0761470408	-0.0384814178	-0.0462969559	0.028036495499999998	0.0554410482	0.0552261636	0.0548686394	0.054369398799999996	0.0537297315	0.0529512896	0.052036083600000005	0.050986477300000006	0.0498051817	0.048495248	0.0470600593	0.0	0.000314543	0.111888	0.18024	-0.000407777	-0.000221014	0.00031139
3184.6455634002446	2809.937355885659	3635.946957514403	1.07622	35.654957	0.144842032	0.019424249299999998	-0.0159169643	-0.006323491600000001	-0.016717268799999997	-0.002768548	-0.082222958	0.015343524499999999	0.0044326142	0.0011679932	-0.0120200159	0.0002601074	-0.0772097088	0.055426746500000006	0.0551690378	0.054740410499999996	0.0541421926	0.053376237300000004	0.052444917699999996	0.0513511191	0.050098230199999996	0.0486901325	0.047131188399999996	0.045426227699999995	0.0	0.00325451	0.170698	0.111275	-0.000435135	-5.68997e-05	0.000402459
3185.899612643202	2811.419305482992	3639.094341217713	0.928416	30.75827	0.12670043499999997	0.0399711544	0.0571827838	0.001665531	0.0060404583	0.0135109902	-0.0405101669	-0.0040738769000000005	0.022856374500000002	0.028458272599999997	-0.040480586299999996	-0.0218553267	0.025638237400000003	0.0554111459	0.0551067411	0.054600637699999996	0.0538946883	0.0529914768	0.0518943089	0.0506072005	0.049134862599999996	0.0474826842	0.0456567124	0.043663630599999996	0.0	0.00061584	0.0643763	0.118937	-0.000398853	-0.000158009	0.000466629
3194.5331805570972	2816.724202186543	3636.967709110424	0.857956	28.423933	0.06337016199999998	0.025156930600000002	-0.0466108849	-0.0300652164	-0.0081337982	-0.0122215058	-0.0336409161	-0.0091149769	-0.0172236354	0.0067766682	0.0327271725	0.0314821183	-0.0159571282	0.055394247	0.055039279299999994	0.0544493505	0.0536269789	0.0525756752	0.0512999275	0.0498051817	0.0480978191	0.04618512809999999	0.0440752742	0.0417772641	0.0	0.000639932	0.0550207	0.0814368	-7.94686e-05	-0.000158009	0.00047705
3185.889141366169	2816.7333500235636	3636.1564494322965	0.861978	28.557186	0.061115582	0.0103321175	0.0404446411	0.0289883136	-0.0067232167	-0.0112858073	0.027341035	-0.016519793300000002	-0.0140781769	-0.016630876399999998	-0.025038186400000002	-0.0124959615	0.058966219400000006	0.0553760501	0.0549666589	0.0542865807	0.0533391647	0.0521290763	0.050662274800000004	0.048945983600000006	0.0469886546	0.044799926799999994	0.0423905787	0.0397724754	0.0	0.00048575	0.0394234	0.0886905	-0.000553632	-2.48764e-05	0.000322138
3200.3247073023003	2820.1595450643626	3631.715656484923	0.877768	29.080299	0.04889708	0.0091028026	-0.0653685692	-0.016551556499999998	-0.0077758749	-0.023551140800000002	-0.0163863029	-0.0152094218	-0.0315068477	-0.0349893417	0.053155432300000006	0.0281472537	0.013400593200000002	0.055356555599999996	0.0548888866	0.0541123628	0.053031353499999996	0.0516519416	0.0499818888	0.0480305925	0.045809032300000004	0.043329708700000004	0.0406065728	0.0376549474	0.0	0.00570275	0.0264458	0.0958837	-0.00057946	-0.000408009	0.000383363
3178.864280295617	2815.314869439785	3629.073260958544	0.8861679999999998	29.358597	0.121476503	-0.0099259109	0.0150596546	0.028959479700000002	0.0038677099	-0.028869603900000002	0.0149068883	-0.0100909402	-0.0129083676	-0.0384033667	-0.0066322688000000005	-0.0080787639	0.06589236799999999	0.055335763899999994	0.0548059697	0.0539267333	0.0527036609	0.0511445506	0.049259343399999996	0.0470600593	0.044560721	0.0417772641	0.038727436000000004	0.0354306823	0.0	0.0008181869999999998	0.0456811	0.0533964	6.63928e-05	-0.000158009	0.000584897
3196.281656185189	2816.8713220396576	3622.640736533085	1.008606	33.414944	0.13375304899999998	-0.006664516	-0.0411771992	-0.06581687209999999	-0.0102679759	0.0415082838	0.027704412	-0.0258087975	0.0052893019	0.0219877358	0.0827556397	0.035733803599999996	0.054901715499999997	0.0553136757	0.0547179159	0.0537297315	0.0523562095	0.0506072005	0.048495248	0.0460354984	0.0432455925	0.0401455389	0.036757570499999996	0.033105985	0.0	0.000895796	0.0284919	0.147648	-0.000173535	-0.000262051	0.00068562
3164.1393884223285	2810.2053780796023	3621.2590843588036	1.111366	36.819347	0.223351599	-0.0493219804	0.0429871153	0.0626515527	0.0014209555	-0.010137954	0.0011027834	0.010923804399999999	0.0002591156	-0.0564057167	-0.043482604800000005	-0.0316687088	0.023553240899999998	0.055290291299999995	0.0546247336	0.053521399000000004	0.051989129800000006	0.050040206100000005	0.0476902471	0.0449580859	0.0418656188	0.0384376297	0.0347015913	0.030687445299999998	0.0	0.00298922	0.187359	0.0918575	-9.73995e-05	-0.000259394	0.000738839
