csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3440.7252348189586	2969.5753996171256	4035.239395263564	0.974025	26.838524	0.14021950000000002	-0.0219712391	0.0055695323	0.0416045308	-0.0166449327	0.0250540963	-0.054093725700000005	-0.023715025299999998	0.0061618287	-0.0135405125	0.0223829702	0.0009150117	0.0948461148	0.057331787599999996	0.057123844800000004	0.056777831900000006	0.056294585300000005	0.0556752729	0.0549213918	0.054034764000000006	0.0530175325	0.051872156100000004	0.050601402999999996	0.0	0.0	0.0	0.128863	0.490474	0.749735	0.0125723	-0.00790275	-0.0103804
3459.0739368772224	2970.896008765625	4032.153060204473	0.92415	25.464241	0.13353299999999999	-0.014814250900000001	-0.0206893837	0.0117695695	0.018200241399999997	-0.0720121846	-0.0010273758	-0.0183752368	-0.0243713435	0.0116682055	0.0379815659	-0.0050572646	0.038773450699999996	0.057316418499999994	0.0570624509	0.056640004800000004	0.0560503274	0.0552951599	0.054376731799999994	0.0532977549	0.052061414900000005	0.0506713621	0.049131700599999995	0.0	0.0	0.0	0.131495	0.455497	0.7989899999999999	0.0124207	-0.00756465	-0.00993672
3459.6904433753	2979.1276990685687	4038.2040240324322	0.96432	26.571104	0.10237050000000007	-0.029252050800000002	-0.020002152	0.0261761932	0.0050420043	-0.0249714091	-0.07937586370000001	-0.0311979054	-0.017367161699999998	0.0401790122	0.015524672	0.0154910347	0.0764674467	0.057299514100000004	0.0569949429	0.056488523	0.055782047800000005	0.0548780193	0.0537796391	0.052490797199999994	0.051016057999999996	0.04936064440000001	0.047530419000000004	0.0	0.0	0.0	0.126492	0.461361	0.736543	0.0122052	-0.007557259999999999	-0.00957848
3453.7880165319566	2971.791973910779	4031.872488749227	0.935185	25.768311	0.0752435000000001	-0.0225829109	-0.0131259894	0.0184435699	0.026414737	0.0098820099	0.0113789878	-0.0295887475	-0.0237376467	0.0091042672	0.0025302137	-0.0131894202	0.028244185	0.057281074800000005	0.0569213282	0.0563234232	0.0554898614	0.0544241304	0.0531306893	0.051614949699999996	0.0498832536	0.0479428463	0.04580184650000001	0.0	0.0	0.0	0.123704	0.451562	0.758422	0.0122823	-0.008031939999999998	-0.00931471
3467.705777174529	2978.6991793461452	4039.6973590362263	0.925627	25.504934	0.04514999999999993	-0.0163259641	-0.0082738653	0.005418486899999999	0.0305697835	-0.0741862645	-0.025462988399999997	-0.0275690481	-0.0300500179	0.0741531887	0.025470623300000002	0.019686994399999998	0.0230030608	0.0572611011	0.056841614500000005	0.056144745	0.0551738934	0.053933797199999994	0.052430508099999995	0.0506713621	0.048664943499999995	0.046421043700000005	0.0439506126	0.0	0.0	0.0	0.125577	0.461676	0.761138	0.012528	-0.00779995	-0.00918346
3445.2474064578532	2971.460852693885	4032.3600643962677	0.91982	25.344938	0.08066899999999994	-0.020588234599999998	0.017648573799999998	0.0100305884	0.0178741477	0.027853320299999998	-0.038863945	-0.0244937016	0.0049087135	0.0160340544	-0.0081908953	-0.012985513	0.0254519042	0.057239593600000006	0.0567558104	0.0559525317	0.0548342792	0.053407348099999995	0.0516797709	0.0496612726	0.0473632161	0.044798537699999995	0.04198167480000001	0.0	0.0	0.0	0.121129	0.489374	0.7498329999999999	0.0118941	-0.00776998	-0.00910297
3467.1531505657995	2975.307419624188	4035.681061269168	0.902198	24.859364	0.11963800000000005	-0.0039855349	0.0095917892	0.006793507	0.04861792559999999	-0.0730528728	0.0208438474	-0.0166661556	-0.015526103400000001	0.0692038033	0.0381608966	0.0059382302	-0.0207556226	0.0572165528	0.0566639251	0.0557468294	0.0544711645	0.0528451355	0.050879201299999996	0.048586007	0.045980302599999995	0.043078848200000006	0.0399003063	0.0	0.0	0.0	0.12453	0.479648	0.803459	0.0121141	-0.0085541	-0.00904939
3441.982975514217	2966.692033132507	4024.772085308412	0.8710449999999998	24.000982	0.08765699999999994	-0.0083296514	0.0312120985	0.0071564071	0.0154813078	0.011122478500000001	-0.064635103	-0.0143720973	0.030532422799999997	0.0350772995	0.0033652708000000003	-0.013377668999999998	0.023015942400000003	0.057191979299999994	0.056565968499999994	0.0555276879	0.0540847047	0.052247536	0.0500295715	0.04744697639999999	0.0445185735	0.041265705699999995	0.037712081200000004	0.0	0.0	0.0	0.131779	0.524474	0.788317	0.0118405	-0.00849487	-0.008973419999999998
3447.299056159145	2967.8229005557014	4026.614293364994	0.89151	24.56489	0.10195249999999999	-0.0007072324	0.0243667062	0.0299936725	0.023296840299999996	-0.0281409546	0.034455815699999996	-0.012614959399999999	0.0044404112	0.019908509799999998	0.0284267785	0.0046487181	0.014504099099999999	0.0571658739	0.056461950999999996	0.0552951599	0.0536750657	0.051614949699999996	0.049131700599999995	0.0462456757	0.0429805343	0.0393630437	0.0354228596	0.0	0.0	0.0	0.13516	0.481417	0.816077	0.0116884	-0.008613779999999998	-0.00868934
3440.6697848270323	2969.066500851213	4023.868016825258	0.8885779999999999	24.484093	0.09302650000000007	-0.008910460600000001	0.041111733399999996	0.0096236155	0.0020719316	-0.04271333769999999	-0.048552416699999996	-0.017493852	0.0278491174	0.048330021699999996	0.0233924125	0.0232688362	0.0395767987	0.0571382372	0.0563518839	0.0550493015	0.0532424228	0.0509478002	0.0481864544	0.0449836816	0.0413688216	0.0373749896	0.0330387723	0.0	0.0	0.0	0.13762	0.499182	0.764491	0.0119676	-0.00854769	-0.008610319999999998
3438.7473935528674	2968.034548519273	4032.1021007232093	0.907286	24.999577	0.08421699999999999	-0.0046902557	0.029193891	0.047752398200000004	-0.0079082796	0.0236727127	0.0056080351	-0.0142072052	0.0132988821	0.0010580425	0.017788194	0.0062249697	0.049246077400000005	0.057109069900000003	0.0562357788	0.054790172000000005	0.0527869616	0.0502465343	0.047194744500000003	0.04366265019999999	0.0396861979	0.0353058562	0.0305662042	0.0	0.0	0.0	0.140494	0.482807	0.80296	0.0117131	-0.008757489999999998	-0.00854464
3462.192062267836	2976.242478979173	4033.812331130077	1.284624	35.396835	0.309754	0.0047363782	0.009509125	0.0081167332	-0.0010040623	-0.0718178123	0.0166389422	-0.0041178453999999995	-0.030928758900000002	0.0201725894	0.0551587302	0.0481981958	-0.015661861000000003	0.057078372800000006	0.056113648200000005	0.0545178338	0.0523088771	0.0495116216	0.0461575269	0.0422843153	0.037935547400000005	0.033160132200000005	0.028011777	0.0	0.0	0.0	0.154859	0.414196	0.88442	0.0104519	-0.008149369999999998	-0.007507599999999999
